0	34
1	152
2	169
3	258
4	326
5	392
6	281
7	550
8	322
9	357
10	834
11	462
12	451
13	531
14	534
15	554
16	580
17	587
18	619
19	641
20	622
21	613
22	596
23	573
24	662
25	626
26	0
27	654
28	694
29	708
30	695
31	742
32	821
33	805
34	0
35	768
36	858
37	855
38	843
39	958
40	0
41	989
42	1079
43	993
44	0
45	1144
46	1177
47	0
48	1275
49	1346
50	0
51	1451
52	1560
53	0
54	1664
55	0
56	1857
57	0
58	2043
59	0
60	2336
61	0
62	2586
63	0
64	2951
65	0
66	3399
67	0
68	0
69	4006
70	0
71	0
72	4992
73	0
74	0
75	6112
76	0
77	0
78	7451
79	0
80	0
81	0
82	9216
83	0
84	0
85	0
86	10951
87	0
88	0
89	0
90	0
91	12521
92	0
93	0
94	0
95	0
96	14004
97	0
98	0
99	0
100	0
101	14565
102	0
103	0
104	0
105	0
106	14964
107	0
108	0
109	0
110	0
111	14393
112	0
113	0
114	0
115	0
116	13225
117	0
118	0
119	0
120	11731
121	0
122	0
123	0
124	0
125	10057
126	0
127	0
128	0
129	8477
130	0
131	0
132	0
133	6701
134	0
135	0
136	5240
137	0
138	0
139	3681
140	0
141	2540
142	0
143	1599
144	1002
145	0
146	689
147	779
148	225
149	308
150	236
151	297
152	224
153	163
154	255
155	711
156	632
157	0
158	852
159	1032
160	1027
161	0
162	1032
163	1020
164	1073
165	0
166	965
167	994
168	951
169	0
170	925
171	994
172	898
173	875
174	0
175	772
176	601
177	521
178	772
179	272
180	431
181	219
182	342
183	793
184	1816
185	0
186	3985
187	0
188	0
189	0
190	7510
191	0
192	0
193	0
194	11994
195	0
196	0
197	0
198	0
199	15803
200	0
201	0
202	0
203	0
204	16943
205	0
206	0
207	0
208	0
209	15380
210	0
211	0
212	0
213	0
214	11215
215	0
216	0
217	0
218	6993
219	0
220	0
221	3763
222	0
223	2034
224	0
225	1215
226	807
227	0
228	730
229	617
230	558
231	863
232	329
233	349
234	293
235	627
236	252
237	529
238	258
239	542
240	271
241	477
242	223
243	405
244	431
245	159
246	357
247	300
248	265
249	267
250	273
251	281
252	187
253	119
254	79
255	16
